MatchNo,PlayerA,PlayerB,Result,MMR_A,MMR_B
12026,Player62,Player191,TEAM_A_WIN,1065,950
12027,Player129,Player71,TEAM_A_WIN,1040,1125
12028,Player38,Player48,TEAM_A_WIN,1040,1060
12029,Player92,Player191,TEAM_B_WIN,1065,970
12030,Player71,Player94,TEAM_A_WIN,1145,1075
12031,Player71,Player83,TEAM_A_WIN,1165,1090
12032,Player62,Player48,TEAM_B_WIN,1050,1080
12033,Player62,Player191,TEAM_A_WIN,1070,955
12034,Player83,Player180,TEAM_A_WIN,1110,1040
12035,Player71,Player180,TEAM_B_WIN,1150,1060
12036,Player180,Player92,TEAM_A_WIN,1080,1050
12037,Player105,Player180,TEAM_B_WIN,1040,1100
12038,Player129,Player83,TEAM_B_WIN,1025,1130
12039,Player83,Player105,TEAM_B_WIN,1115,1060
12040,Player129,Player105,TEAM_A_WIN,1045,1045
12041,Player136,Player177,TEAM_B_WIN,1050,1060
12042,Player56,Player135,TEAM_B_WIN,1060,1125
12043,Player77,Player56,TEAM_B_WIN,1050,1080
12044,Player177,Player77,TEAM_B_WIN,1045,1070
12045,Player135,Player144,TEAM_A_WIN,1145,1125
12046,Player99,Player192,TEAM_A_WIN,1130,1060
12047,Player142,Player136,TEAM_B_WIN,1060,1070
12048,Player47,Player147,TEAM_A_WIN,1090,1020
12049,Player136,Player99,TEAM_A_WIN,1090,1115
12050,Player147,Player99,TEAM_A_WIN,1040,1100
12051,Player142,Player77,TEAM_B_WIN,1045,1090
12052,Player99,Player136,TEAM_B_WIN,1085,1110
12053,Player144,Player142,TEAM_A_WIN,1145,1030
12054,Player147,Player177,TEAM_B_WIN,1025,1065
12055,Player135,Player47,TEAM_A_WIN,1165,1075
12056,Player147,Player192,TEAM_A_WIN,1045,1045
12057,Player56,Player142,TEAM_B_WIN,1065,1050
12058,Player47,Player135,TEAM_A_WIN,1095,1150
12059,Player108,Player47,TEAM_B_WIN,1055,1115
12060,Player192,Player177,TEAM_A_WIN,1065,1050
12061,Player77,Player108,TEAM_B_WIN,1075,1075
12062,Player56,Player144,TEAM_A_WIN,1085,1130
12063,Player192,Player108,TEAM_B_WIN,1050,1095
12064,Player144,Player108,TEAM_B_WIN,1115,1115
12065,Player44,Player176,TEAM_B_WIN,1125,1115
12066,Player96,Player75,TEAM_A_WIN,1155,1055
12067,Player120,Player82,TEAM_A_WIN,1130,1130
12068,Player189,Player188,TEAM_A_WIN,1060,990
12069,Player176,Player64,TEAM_B_WIN,1100,1120
12070,Player120,Player96,TEAM_A_WIN,1150,1140
12071,Player188,Player64,TEAM_A_WIN,1010,1105
12072,Player176,Player120,TEAM_B_WIN,1085,1170
12073,Player0,Player189,TEAM_A_WIN,1130,1045
12074,Player64,Player44,TEAM_A_WIN,1125,1110
12075,Player176,Player75,TEAM_B_WIN,1070,1075
12076,Player82,Player96,TEAM_B_WIN,1115,1160
12077,Player96,Player64,TEAM_B_WIN,1145,1145
12078,Player44,Player0,TEAM_A_WIN,1130,1115
12079,Player44,Player120,TEAM_A_WIN,1150,1155
12080,Player189,Player132,TEAM_B_WIN,1030,1165
12081,Player189,Player188,TEAM_B_WIN,1015,1030
12082,Player82,Player0,TEAM_A_WIN,1135,1100
12083,Player82,Player75,TEAM_A_WIN,1155,1060
12084,Player75,Player132,TEAM_A_WIN,1080,1150
12085,Player132,Player188,TEAM_B_WIN,1135,1050
12086,Player0,Player132,TEAM_A_WIN,1120,1120
12087,Player65,Player74,TEAM_B_WIN,1125,1155
12088,Player74,Player9,TEAM_A_WIN,1175,1130
12089,Player90,Player161,TEAM_A_WIN,1195,1110
12090,Player9,Player90,TEAM_A_WIN,1150,1180
12091,Player90,Player119,TEAM_B_WIN,1165,1160
12092,Player9,Player74,TEAM_A_WIN,1170,1160
12093,Player65,Player90,TEAM_B_WIN,1110,1185
12094,Player65,Player18,TEAM_B_WIN,1095,1165
12095,Player119,Player74,TEAM_B_WIN,1145,1180
12096,Player18,Player134,TEAM_A_WIN,1185,1150
12097,Player161,Player18,TEAM_A_WIN,1130,1170
12098,Player18,Player119,TEAM_A_WIN,1190,1130
12099,Player134,Player119,TEAM_B_WIN,1135,1150
12100,Player65,Player9,TEAM_B_WIN,1080,1190
12101,Player161,Player134,TEAM_B_WIN,1115,1155
12102,Player134,Player161,TEAM_A_WIN,1175,1100
12103,Player10,Player81,TEAM_A_WIN,1195,1130
12104,Player81,Player41,TEAM_A_WIN,1150,1150
12105,Player3,Player156,TEAM_A_WIN,1160,1160
12106,Player156,Player76,TEAM_B_WIN,1145,1190
12107,Player41,Player111,TEAM_A_WIN,1170,1195
12108,Player10,Player41,TEAM_A_WIN,1215,1155
12109,Player185,Player76,TEAM_B_WIN,1200,1210
12110,Player10,Player3,TEAM_B_WIN,1200,1180
12111,Player10,Player81,TEAM_B_WIN,1185,1170
12112,Player41,Player76,TEAM_B_WIN,1140,1230
12113,Player149,Player156,TEAM_A_WIN,1195,1130
12114,Player76,Player3,TEAM_A_WIN,1250,1165
12115,Player185,Player156,TEAM_B_WIN,1185,1150
12116,Player81,Player185,TEAM_B_WIN,1155,1205
12117,Player149,Player3,TEAM_B_WIN,1180,1185
12118,Player185,Player149,TEAM_A_WIN,1225,1165
12119,Player111,Player149,TEAM_A_WIN,1215,1150
12120,Player59,Player130,TEAM_B_WIN,1230,1230
12121,Player53,Player101,TEAM_A_WIN,1120,1155
12122,Player130,Player101,TEAM_B_WIN,1215,1175
12123,Player53,Player59,TEAM_A_WIN,1140,1215
